tag	zh_tw	zh	en
i18n_ServCloud_Manage	系統管理	系統管理	System Management
i18n_ServCloud_Manage_Appware	01管理 APP	01 管理 APP	01 Manage App
i18n_ServCloud_Manage_Authorise	04 管理權限	04 管理权限	04 Manage Authority
i18n_ServCloud_Manage_Box	05 Box 管理	05 Box 管理	05 Box Management
i18n_ServCloud_Manage_Group	03 管理群組	03 管理群组	03 Manage Group
i18n_ServCloud_Line_Number_Barcode_Generation	03 線別機台號條碼產生	03 线别机台号条码产生	03 Line_Number_Barcode_Generation
i18n_ServCloud_Track_Number_Barcode_Generation	04 軌道號條碼產生	04 轨道号条码产生	04 Track_Number_Barcode_Generation
i18n_ServCloud_Feeder_Type_Number_Barcode_Generation	05 供料器類型條碼產生	05 供料器类型条码产生	05 Feeder_Type_Number_Barcode_Generation
i18n_ServCloud_Manage_Machine_new	管理機台(new)	管理机台(new)	Manage Machine (new)
i18n_ServCloud_Manage_Machine_Name	07 管理機台名稱	07 管理机台名称	07 Manage Machine Name
i18n_ServCloud_Manage_Machine_Type	07 管理設備類型	07 管理设备类型	07 Machine Type Management
i18n_ServCloud_Manage_Machine_Info	管理設備資訊	管理设备资讯	Machine Information Management
i18n_ServCloud_Manage_Macro	10 管理巨集	10 管理巨集	10 Manage Macro
i18n_ServCloud_Manage_Schedule	管理排程	管理排程	Manage Schedule
i18n_ServCloud_Manage_User	02 管理使用者	02 管理使用者	02 Manage User
i18n_ServCloud_Manage_Work_Shift	08 管理班次	08 管理班次	08 Manage Work Shift
i18n_ServCloud_Manage_App_Func_Cnc_Brand	09 管理APP功能廠牌	09 管理APP功能厂牌	09 Manage App Func CNC Brand
i18n_ServCloud_Download_Raw_Data_Decode	11 下載設備原始資料(解碼)	11 下载设备原始资料(解码)	11 Download Machine Raw Data (Decode)
i18n_ServCloud_Download_Raw_Data_Cho_Decode	下載設備原始資料Cho(解碼)	下载设备原始资料Cho(解码)	Download Machine Raw Data Cho (Decode)
i18n_ServCloud_Manage_Line_Type	12 管理產線類別	12 管理产线类别	12 Manage Line Type
i18n_ServCloud_Manage_Line_Group	12 管理產線群組	12 管理产线群组	12 Manage Line Group
i18n_ServCloud_Manage_Cnc_Brand	13 管理CNC廠牌	13 管理CNC厂牌	13 Manage CNC brand
i18n_ServCloud_Machine_Editor	管理設備連接	管理设备连接	Management Machine Connection 
i18n_ServCloud_Manage_Machine_Group	14 管理機台群組	14 管理机台群组	14 Manage Machine Group
i18n_ServCloud_Manage_Ip_Cam	Ip Camera 管理	Ip Camera 管理	Ip Camera Management
i18n_ServCloud_Manage_Alarm	16 管理警報代碼	16 管理警报代码	16 Manage Alarm
i18n_ServCloud_Manage_Alarm_Anko	16 管理警報代碼(PLC)	16 管理警报代码(PLC)	16 Manage Alarm (PLC)
i18n_ServCloud_Manage_Axis_Efficiency	17 管理機台主軸與進給門檻值	17 管理机台主轴与进给门槛值	17 Manage Axis Efficiency
i18n_ServCloud_Manage_Axis_Efficiency_TH	17 管理機台主軸與進給門檻值TH	17 管理机台主轴与进给门槛值TH	17 Manage Axis Efficiency TH
i18n_ServCloud_Manage_Alarm_Send_Spacing	18 管理警報通知發送間隔時間	18 管理警报通知发送间隔时间	18 Manage Alarm Send Spacing
i18n_ServCloud_Manage_Depart_Machine_Aerowin	部門機台	部门机台	Department Machine
i18n_ServCloud_Manage_Mail	19 管理信箱發送群組	19 管理信箱发送群组	19 Manage Mail
