	zh_tw	zh	en
i18n_ServCloud_ServTrack_000099	是	是	Yes
i18n_ServCloud_ServTrack_000100	工單結案	工单结案	Work order closed
i18n_ServCloud_ServTrack_000101	工單狀態	工单状态	Work order status
i18n_ServCloud_ServTrack_000102	填寫時間	填写时间	Created time
i18n_ServCloud_ServTrack_000103	填寫人	填写人	Editor
i18n_ServCloud_ServTrack_000104	否	否	No
i18n_ServCloud_ServTrack_000105	初始投入量	初始投入量	First input amount
i18n_ServCloud_ServTrack_000106	30_派工單在製過程	30_派工单在制过程	30_Work order in-production process
i18n_ServCloud_ServTrack_000107	詳細記錄	详细记录	Details
i18n_ServCloud_ServTrack_000108	良率	良率	Yield rate
i18n_ServCloud_ServTrack_000109	總生產時間	总生产时间	Total production time
i18n_ServCloud_ServTrack_000110	目標差值	目标差值	Target difference
i18n_ServCloud_ServTrack_000111	目標值(%)	目标值(%)	Target value (%)
i18n_ServCloud_ServTrack_000112	產品良率目標值(%)	产品良率目标值(%)	Product target yield rate (%)
i18n_ServCloud_ServTrack_000113	派工單良率統計-長條圖	派工单良率统计-长条图	Work order yield rate - bar chart
i18n_ServCloud_ServTrack_000114	派工單良率(%)	派工单良率(%)	Work order yield rate (%)
i18n_ServCloud_ServTrack_000115	派工單良率%	派工单良率%	Work order yield rate (%)
i18n_ServCloud_ServTrack_000116	派工單良率	派工单良率	Work order yield rate
i18n_ServCloud_ServTrack_000117	未完工	未完工	Unfinished
i18n_ServCloud_ServTrack_000118	最後工序產量	最后工序产量	Production quantity of the last producion process sequence
i18n_ServCloud_ServTrack_000119	出站時間 - 進站時間	出站时间 - 进站时间	Move out time - move in time
i18n_ServCloud_ServTrack_000120	不良數	不良数	Defevtive product quantity
i18n_ServCloud_ServTrack_000121	20_派工單良率統計	20_派工单良率统计	20_Work order yield rate
i18n_ServCloud_ServTrack_000122	顯示 Demo 資料	显示 Demo 资料	Display demo data
i18n_ServCloud_ServTrack_000123	過濾進站時間	过滤进站时间	Filter Move in time
i18n_ServCloud_ServTrack_000124	過濾製程良率	过滤制程良率	Filter Production process yield rate
i18n_ServCloud_ServTrack_000125	過濾良率	过滤良率	Filter Yield rate
i18n_ServCloud_ServTrack_000126	過濾總產量	过滤总产量	Filter Total production quantity
i18n_ServCloud_ServTrack_000127	過濾產量	过滤产量	Filter Production quantity
i18n_ServCloud_ServTrack_000128	過濾班次時間	过滤班次时间	Filter Shift time
i18n_ServCloud_ServTrack_000129	過濾出站時間	过滤出站时间	Filter Move out time
i18n_ServCloud_ServTrack_000130	過濾不良數	过滤不良数	Filter Defective product quantity
i18n_ServCloud_ServTrack_000131	製程良率(%)	制程良率(%)	Production process yield rate (%)
i18n_ServCloud_ServTrack_000132	製程良率	制程良率	Production process yield rate
i18n_ServCloud_ServTrack_000133	良品數 / 實際產量 x 100	良品数 / 实际产量 x 100	Good product quantity / Actual production quantity x 100
i18n_ServCloud_ServTrack_000134	總產量	总产量	Total production quantity
i18n_ServCloud_ServTrack_000135	當月總良率	当月总良率	Total yield rate of the month
i18n_ServCloud_ServTrack_000136	產品製程良率統計 - 長條圖	产品制程良率统计 - 长条图	Yield rate for the production process of the product - bar chart
i18n_ServCloud_ServTrack_000137	實際產量 - 不良數	实际产量 - 不良数	Actual production quantity - defective product quantity
i18n_ServCloud_ServTrack_000138	實際產量 - 不良數	实际产量 - 不良数	Actual production quantity - defective product quantity
i18n_ServCloud_ServTrack_000139	不良累計圖	不良累计图	Defect accumulation chart
