	zh_tw	zh	en
i18n_ServCloud_ServTrackManagement_000101	產品工序維護	产品工序维护	Production process sequence maintain
i18n_ServCloud_ServTrackManagement_000102	工序重複	工序重复	Production process sequence repeated
i18n_ServCloud_ServTrackManagement_000103	填目標值	填目标值	Input the target value
i18n_ServCloud_ServTrackManagement_000104	品號工序	品号工序	Product
i18n_ServCloud_ServTrackManagement_000105	品號	品号	Product production process sequence
i18n_ServCloud_ServTrackManagement_000106	說明	说明	Description
i18n_ServCloud_ServTrackManagement_000107	請輸入製程名稱	请输入制程名称	Please input the production process name
i18n_ServCloud_ServTrackManagement_000108	請填製程編號	请填制程编号	Please input the production process code
i18n_ServCloud_ServTrackManagement_000109	請填不良名稱	请填不良名称	Please input the defective reason
i18n_ServCloud_ServTrackManagement_000110	請填不良代碼	请填不良代码	Please input the defective reason code
i18n_ServCloud_ServTrackManagement_000111	製程編號重複	制程编号重复	Production process code repeated
i18n_ServCloud_ServTrackManagement_000112	製程編號	制程编号	Production process code
i18n_ServCloud_ServTrackManagement_000113	製程名稱	制程名称	Production process name
i18n_ServCloud_ServTrackManagement_000114	製程及不良原因維護	制程及不良原因维护	Production process and defective reason maintain
i18n_ServCloud_ServTrackManagement_000115	製程不良原因維護	制程不良原因维护	Production process defective reason maintain
i18n_ServCloud_ServTrackManagement_000116	不良名稱	不良名称	Defective reason
i18n_ServCloud_ServTrackManagement_000117	不良原因	不良原因	Defective reason
i18n_ServCloud_ServTrackManagement_000118	不良代碼重複	不良代码重复	Defective reason code repeated
i18n_ServCloud_ServTrackManagement_000119	不良代碼	不良代码	Defective reason code
i18n_ServCloud_ServTrackManagement_000120	派工單工序條碼列印	派工单工序条码列印	Print QR code for the production process sequence of the work order
i18n_ServCloud_ServTrackManagement_000121	查詢條件	查询条件	Query condition
i18n_ServCloud_ServTrackManagement_000122	開始時間	开始时间	Start time
i18n_ServCloud_ServTrackManagement_000123	班次起迄維護	班次起迄维护	Shift start and end time maintain
i18n_ServCloud_ServTrackManagement_000124	班次起始時間	班次起始时间	Shift start time
i18n_ServCloud_ServTrackManagement_000125	班次天起訖時間設定	班次天起讫时间设定	Shift start and end time settings for a single day
i18n_ServCloud_ServTrackManagement_000126	時數不可超過 24 小時	时数不可超过 24 小时	No more than 24 hours
i18n_ServCloud_ServTrackManagement_000127	應上班時數	应上班时数	Required working hours
i18n_ServCloud_ServTrackManagement_000128	小數點後最多2位	小数点后最多2位	Round to two decimal places
i18n_ServCloud_ServTrackManagement_000129	起始日期不可大於結束日期	起始日期不可大于结束日期	Start date can not be later than end date
i18n_ServCloud_ServTrackManagement_000130	起始日期	起始日期	Start date
i18n_ServCloud_ServTrackManagement_000131	請輸入數字...	请输入数字...	Please input numbers
i18n_ServCloud_ServTrackManagement_000132	編輯工時	编辑工时	Edit working hour
i18n_ServCloud_ServTrackManagement_000133	線別	线别	Production line
i18n_ServCloud_ServTrackManagement_000134	結束日期	结束日期	End date
i18n_ServCloud_ServTrackManagement_000135	確定要刪除此日期所有線別的生產工時嗎	确定要删除此日期所有线别的生产工时吗	Are you sure to delete the working hour for all the production lines in this date?
i18n_ServCloud_ServTrackManagement_000136	生產工時	生产工时	Working hour
i18n_ServCloud_ServTrackManagement_000137	班次日期	班次日期	Shift date
i18n_ServCloud_ServTrackManagement_000138	每日工時不能大於24小時	每日工时不能大于24小时	Daily working hour no more than 24 hours
i18n_ServCloud_ServTrackManagement_000139	時數不可以大於24	时数不可以大于24	No more than 24 hours
i18n_ServCloud_ServTrackManagement_000140	日期	日期	Date
i18n_ServCloud_ServTrackManagement_000141	日	日	Sunday
i18n_ServCloud_ServTrackManagement_000142	新增工時	新增工时	Add working hours
i18n_ServCloud_ServTrackManagement_000143	新增失敗	新增失败	Add failed
i18n_ServCloud_ServTrackManagement_000144	應生產工時(小時)	应生产工时(小时)	Required working hours
i18n_ServCloud_ServTrackManagement_000145	工時新增成功	工时新增成功	Working hour added successfully
i18n_ServCloud_ServTrackManagement_000146	四	四	Thursday
i18n_ServCloud_ServTrackManagement_000147	各線每日應生產工時	各线每日应生产工时	Production line required working hours
i18n_ServCloud_ServTrackManagement_000148	刪除工時	删除工时	Delete working hour
i18n_ServCloud_ServTrackManagement_000149	六	六	Saturday
i18n_ServCloud_ServTrackManagement_000150	五	五	Friday
i18n_ServCloud_ServTrackManagement_000151	二	二	Tuesday
i18n_ServCloud_ServTrackManagement_000152	上班日	上班日	Working day
i18n_ServCloud_ServTrackManagement_000153	三	三	Wednesday
